Primary Question,Alternative Phrasing 1,Alternative Phrasing 2,Required Parameters,SQL Query (Existing or Recovered),Testing Parameter,Bridge Tool Mapping,Suggested Tool Name,Tool Description
"Which high-exposure risks lack a mitigation plan, contingency plan, responsibility, or target closure date?",Show incomplete risk treatment records.,Which major risks are not actionable because key fields are missing?,exposure_threshold; as_of_date,"SELECT

    p.project_id,
    p.title AS project_name,

    r.risk_id,
    r.reference_no,
    r.title AS risk_title,

    r.owner_id,
    CONCAT(u.first_name,' ',u.last_name) AS risk_owner,

    r.rating,
    r.after_mitigation_risk_score,

    r.mitigation_action_plan,
    r.contingency_action_plan,
    r.responsibility,
    r.target_closure_date,

    CASE

        WHEN r.mitigation_action_plan IS NULL
             OR TRIM(r.mitigation_action_plan)=''
        THEN 'Missing Mitigation Plan'

        WHEN r.contingency_action_plan IS NULL
             OR TRIM(r.contingency_action_plan)=''
        THEN 'Missing Contingency Plan'

        WHEN r.responsibility IS NULL
             OR TRIM(r.responsibility)=''
        THEN 'Missing Responsibility'

        WHEN r.target_closure_date IS NULL
        THEN 'Missing Target Closure Date'

        ELSE 'Complete'

    END AS governance_gap

FROM tbl_risk r

INNER JOIN tbl_projects p
ON r.project_id=p.project_id

LEFT JOIN tbl_users u
ON r.owner_id=u.user_id

WHERE

r.status=1

AND p.status=1
AND p.archive=0

AND r.rating>=15

AND
(
      r.mitigation_action_plan IS NULL
   OR TRIM(r.mitigation_action_plan)=''

   OR r.contingency_action_plan IS NULL
   OR TRIM(r.contingency_action_plan)=''

   OR r.responsibility IS NULL
   OR TRIM(r.responsibility)=''

   OR r.target_closure_date IS NULL
)

ORDER BY

r.rating DESC,
p.deal_value DESC,
r.target_closure_date;",,Hold - Pending Clarification,get_incomplete_risk_treatment,"Intended to list high-exposure risks missing a mitigation plan, contingency plan, responsibility or target closure date. PENDING CLARIFICATION - the exposure threshold defining high depends on the unresolved rating banding decision (C-12). Params: exposure_threshold, as_of_date."
Are risk closure rates and risk aging improving or deteriorating?,"Show monthly risk creation, closure, and aging trends.",Which projects are accumulating long-lived risks?,months; time_bucket,,,NL2SQL Candidate,get_risk_closure_trend,"Intended to report whether risk closure rates and risk aging are improving. NO FIXED SQL - NL2SQL candidate: bucketing and the aging definition are caller-defined. Params: months, time_bucket. The fixed tool covering part of this is get_risk_trend."
Which projects have both high risk exposure and severe unresolved issues?,Show projects with compounded risk and issue pressure.,Where are risk and defect indicators reinforcing each other?,as_of_date; scoring_weights; top_n,,,NL2SQL Candidate,get_compound_risk_issue_projects,"Intended to identify projects carrying both high risk exposure and severe unresolved issues. NO FIXED SQL - NL2SQL candidate: needs caller weights and depends on the unresolved risk-exposure formula and issue-severity scale. Params: as_of_date, scoring_weights, top_n."
Which resources are overallocated across overlapping active projects?,Show users whose concurrent allocation hours exceed capacity.,Where do project allocations create resource conflicts?,period; weekly_capacity_hours; threshold_percent,"-- Written 2026-08-27: no stored weekly-capacity field exists (O-09/O-10) -- caller supplies the threshold. Reports CURRENT allocation (allocation_from/allocation_to not populated).
SELECT u.user_id, CONCAT(u.first_name, ' ', u.last_name) AS employee_name,
    SUM(pu.allocation_hrs) AS total_allocated_hours,
    COUNT(DISTINCT pu.project_id) AS total_projects
FROM tbl_project_users pu
INNER JOIN tbl_users u ON pu.user_id = u.user_id
WHERE pu.status = 1 AND pu.request_status = 'A'
GROUP BY u.user_id, employee_name
HAVING SUM(pu.allocation_hrs) > :weekly_capacity_hours
ORDER BY total_allocated_hours DESC;",,Tool,get_resources_over_capacity_threshold,"Lists users whose current total allocated hours exceed a caller-supplied weekly capacity by more than a threshold. Params: period (not honoured), weekly_capacity_hours, threshold_percent. No capacity field is stored (O-09/O-10); allocation dates are unpopulated, so overlapping means currently active."
Which resources have the largest mismatch between allocated hours and actual logged effort?,Compare allocation against timesheet consumption.,Who is materially over- or under-consuming their allocation?,period; variance_threshold,"-- Written 2026-08-27: allocation side is CURRENT total (allocation_from/allocation_to not populated); timesheet side is genuinely period-scoped via timesheet_date.
SELECT u.user_id, CONCAT(u.first_name, ' ', u.last_name) AS employee_name,
    SUM(pu.allocation_hrs) AS total_allocated_hours,
    ROUND(SUM(IFNULL(ts.hours,0) + (IFNULL(ts.minutes,0)/60)), 2) AS total_logged_hours,
    ROUND(SUM(IFNULL(ts.hours,0) + (IFNULL(ts.minutes,0)/60)) - SUM(pu.allocation_hrs), 2) AS variance_hours
FROM tbl_users u
LEFT JOIN tbl_project_users pu ON pu.user_id = u.user_id AND pu.status = 1 AND pu.request_status = 'A'
LEFT JOIN tbl_timesheets ts ON ts.user_id = u.user_id AND ts.timesheet_date BETWEEN :period_start AND :period_end
WHERE u.enabled = 1 AND u.verified = 1 AND u.is_block = 0
GROUP BY u.user_id, employee_name
HAVING ABS(ROUND(SUM(IFNULL(ts.hours,0) + (IFNULL(ts.minutes,0)/60)) - SUM(pu.allocation_hrs), 2)) >= :variance_threshold
ORDER BY ABS(variance_hours) DESC;",,Tool,get_allocation_vs_logged_mismatch,"Compares each user's allocated hours against hours actually logged and returns the variance. Use for whether allocation matches reality. Params: period, variance_threshold. The allocation side is a current total (dates unpopulated); the timesheet side is genuinely period-scoped."
Which projects depend excessively on a single contributor?,Show projects where one user contributes more than :threshold_percent of logged effort.,Where is key-person delivery risk highest?,period; threshold_percent; minimum_hours,,,Needs SQL (Tool),get_single_contributor_dependency_projects,"Intended to find projects where one contributor accounts for more than a threshold share of logged effort - key-person risk. SQL NOT YET WRITTEN. Params: period, threshold_percent, minimum_hours. Composable today from get_project_hours_by_user per project."
Which users are spread across too many concurrent projects?,Rank resources by number of overlapping active project allocations.,Who may be losing productivity through excessive context switching?,period; project_count_threshold,"-- Written 2026-08-27: ""concurrent"" cannot be date-verified (allocation_from/allocation_to not populated) -- counts CURRENT distinct active project allocations.
SELECT u.user_id, CONCAT(u.first_name, ' ', u.last_name) AS employee_name,
    COUNT(DISTINCT pu.project_id) AS active_project_count
FROM tbl_project_users pu
INNER JOIN tbl_users u ON pu.user_id = u.user_id
WHERE pu.status = 1 AND pu.request_status = 'A'
GROUP BY u.user_id, employee_name
HAVING COUNT(DISTINCT pu.project_id) > :project_count_threshold
ORDER BY active_project_count DESC;",,Tool,get_users_over_project_count_threshold,"Lists users allocated to more than a threshold number of active projects - a context-switching load check. Params: period (not honoured), project_count_threshold. Counts current distinct active allocations, since concurrency cannot be date-verified. See get_users_with_concurrent_allocations."
Which resource allocations end before their assigned open tasks or project delivery dates?,Show allocation end-date risks.,Where could resources roll off before remaining work is due?,as_of_date; horizon_days,"-- Resolved 2026-08-27: allocation_to is not populated -- comparing it to task/project dates is not possible from this data.
SELECT u.user_id, CONCAT(u.first_name,' ',u.last_name) AS employee_name,
    p.project_id, p.title AS project_name,
    pu.allocation_from, pu.allocation_to,
    pt.task_id, pt.title AS task_name, pt.priority, pt.rag, pt.due_date, p.end_date,
    DATEDIFF(pt.due_date, pu.allocation_to) AS task_gap_days,
    DATEDIFF(p.end_date, pu.allocation_to) AS project_gap_days
FROM tbl_project_users pu
INNER JOIN tbl_users u ON pu.user_id = u.user_id
INNER JOIN tbl_projects p ON pu.project_id = p.project_id
INNER JOIN tbl_project_task_users ptu ON pu.user_id = ptu.user_id
INNER JOIN tbl_project_tasks pt ON ptu.task_id = pt.task_id AND pt.project_id = pu.project_id
WHERE pu.status = 1 AND pu.request_status = 'A'
  AND p.status = 1 AND p.archive = 0
  AND pu.allocation_to IS NOT NULL
  AND pu.allocation_to <= DATE_ADD('2026-08-11', INTERVAL 30 DAY)
  AND (pt.due_date > pu.allocation_to OR p.end_date > pu.allocation_to)
ORDER BY pu.allocation_to, pt.due_date;",,Blocked - Data Not Available,get_allocations_ending_before_work,"Intended to flag allocations ending before their assigned open tasks or the project delivery date. NOT EXECUTABLE - allocation_to is not populated, so no comparison against task or project dates is possible. Params: as_of_date, horizon_days."
"What percentage of logged effort is chargeable by project, PM, client, and project type?",Show chargeable versus non-chargeable effort mix.,Where is non-chargeable delivery effort concentrated?,period; grouping_dimension,"SELECT
    p.project_id,
    p.title AS project_name,

    ROUND(SUM(
        CASE
            WHEN t.chargeable = 'Y'
            THEN IFNULL(ts.hours,0) + (IFNULL(ts.minutes,0)/60)
            ELSE 0
        END
    ),2) AS chargeable_hours,

    ROUND(SUM(
        IFNULL(ts.hours,0) + (IFNULL(ts.minutes,0)/60)
    ),2) AS total_hours,

    ROUND(
        (
            SUM(
                CASE
                    WHEN t.chargeable='Y'
                    THEN IFNULL(ts.hours,0)+(IFNULL(ts.minutes,0)/60)
                    ELSE 0
                END
            )
            /
            NULLIF(
                SUM(IFNULL(ts.hours,0)+(IFNULL(ts.minutes,0)/60)),
                0
            )
        )*100,
        2
    ) AS chargeable_effort_ratio

FROM tbl_timesheets ts

INNER JOIN tbl_project_tasks t
    ON ts.task_id=t.task_id

INNER JOIN tbl_projects p
    ON t.project_id=p.project_id

WHERE
    p.status=1
    AND p.archive=0

GROUP BY
    p.project_id,
    p.title

ORDER BY
    chargeable_effort_ratio DESC;",,Tool,get_chargeable_effort_ratio,"Returns the chargeable share of logged effort - chargeable hours, total hours and the ratio - grouped by project, optionally by PM, client or type. Params: period, grouping_dimension. Chargeability comes from tbl_project_tasks.chargeable = 'Y'."
"What projects, risks, tasks, issues, and allocation expiries need executive attention in the next 30, 60, and 90 days?",Create a 30/60/90-day delivery watchlist.,What upcoming events could materially affect the portfolio?,as_of_date; scoring_weights; horizons,,,NL2SQL Candidate,get_executive_watchlist_30_60_90,"Intended to build a 30/60/90-day executive watchlist across projects, risks, tasks, issues and allocation expiries. NO FIXED SQL - NL2SQL candidate with caller-defined weights; the allocation-expiry component is not answerable at all. Params: as_of_date, scoring_weights, horizons."
